blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
12780993,1625670126,100000000000000000000000000,101796354367573444400000000,406235755648708062913478,101562662672493772108122442,0.0023009606968777963,false
12781003,1625670242,100000000000000000000000000,101796354590472973700000000,406235755648708062913478,101562674916178646065133688,0.0023008420611920766,false
12781013,1625670334,100000000000000000000000000,101796354564737987700000000,406235755648708062913478,101562684573299543971738991,0.0023007465037003794,false
12781023,1625670561,100000000000000000000000000,101796354566762783500000000,406235866490987176813514,101562748958818213202644943,0.002300111116914527,false
12781033,1625670679,100000000000000000000000000,101796354575570104200000000,406235866509120647107791,101562761362790903031109641,0.0022999887916081985,false
12781043,1625670805,100000000000000000000000000,101796367389276444800000000,406235892891372079360859,101562787634701366546769293,0.0022998556854820773,false
12781053,1625670891,100000000000000000000000000,101796367384901153300000000,406235892882363754184721,101562796663903946504755160,0.002299766535281078,false
12781063,1625671018,100000000000000000000000000,101796367345720774600000000,406235892801694936592398,101562809964438118651620167,0.0022996348896258123,false
12781073,1625671127,100000000000000000000000000,101796367492624579200000000,406235893104156439110731,101562821563528057885688728,0.0022995218673640405,false
12781083,1625671232,100000000000000000000000000,101796367053159479000000000,406235892199337976054030,101562832145880987923212692,0.002299413105603998,false
12781093,1625671347,100000000000000000000000000,101796367043856058300000000,406235892180183083360537,101562844216301841634421924,0.0022992938939054852,false
12781103,1625671420,100000000000000000000000000,101796367233718645700000000,406235892571092793059100,101562852077568167815011494,0.0022992181823737745,false
12781113,1625671514,100000000000000000000000000,101796367406977707900000000,406235892927817361696096,101562862127834467896908950,0.002299120704665869,false
12781123,1625671674,100000000000000000000000000,101796367376795463700000000,406235892865674880381008,101562878903925357217734731,0.0022989548483651756,false
12781133,1625671776,100000000000000000000000000,101796367784430566700000000,406217570187261995579947,101558310817587331368652594,0.0023440422051801413,false
12781143,1625671885,100000000000000000000000000,101796367813644843300000000,406217570187261995579947,101558322277895360038892222,0.002343929383729959,false
12781153,1625671975,100000000000000000000000000,101796368420303842700000000,406211168030042233374487,101556734276687101141437745,0.002359608600291052,false
12781163,1625672077,100000000000000000000000000,101796367985333979500000000,406211168030042233374487,101556744823715779284454412,0.0023595002186624914,false
12781173,1625672262,100000000000000000000000000,101796368016459868600000000,406211279188961722199505,101556798606469947825600547,0.0023589696925978565,false
12781183,1625672312,100000000000000000000000000,101796368125517784400000000,406211279411864275221737,101556803968919213702308505,0.0023589178394378685,false
12781193,1625672442,100000000000000000000000000,101796368744973250200000000,406211280677964065562160,101556818252074675677437307,0.0023587829652558234,false
12781203,1625672607,100000000000000000000000000,101796368705102281000000000,406211280596472128866310,101556835542584692071326771,0.002358611916547515,false
12781213,1625672747,100000000000000000000000000,101796368683263419700000000,406211280551835864967958,101556850225485801555977256,0.0023584667823570715,false
12781223,1625672833,100000000000000000000000000,101796368701450324500000000,406211280589007925864795,101556859277043755149654401,0.0023583776232503073,false
12781233,1625672969,100000000000000000000000000,101796372001664807700000000,406211287334288287993941,101556876910141961908044993,0.0023582360821783332,false
12781243,1625673113,100000000000000000000000000,101796372121906138600000000,406211287580048519305564,101556892613825253964511657,0.002358082272086781,false
12781253,1625673313,100000000000000000000000000,101796373456090446000000000,406211290306976433893084,101556914974592497506687021,0.002357874710529062,false
12781263,1625673425,100000000000000000000000000,101796373646596566700000000,406211290696350264605515,101556926931905365632267360,0.0023577585687655223,false
12781273,1625673487,100000000000000000000000000,101796378785992216000000000,406211301200716807553979,101556933600923154442929142,0.0023577433522163904,false
12781283,1625673602,100000000000000000000000000,101796385814685520700000000,406211315566601734952720,101556964577728817137857090,0.0023575068234089613,false
12781293,1625673757,100000000000000000000000000,101796385692703738600000000,406211315317284242918196,101556980765619635601040487,0.0023573458493868493,false
12781303,1625673901,100000000000000000000000000,101796385689059808100000000,406211315309836445400292,101556995888048056347705588,0.002357196556657115,false
12781313,1625674060,100000000000000000000000000,101796385704738476600000000,406211315341881938126243,101557020138318608123642445,0.002356957363399026,false
12781323,1625674212,100000000000000000000000000,101796386044421196500000000,406211316036156462215331,101557043487195323014775162,0.0023567302572771176,false
12781333,1625674437,100000000000000000000000000,101796387575788715900000000,406211319166105040514321,101557068673185794195416345,0.0023564967532989645,false
12781343,1625674561,100000000000000000000000000,101796387584285390500000000,406211319183471318727614,101557081706277816375658450,0.0023563682018719057,false
12781353,1625674701,100000000000000000000000000,101796391130743808000000000,406024047736594031363325,101510354960874735876496281,0.002817802873207542,false
