blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
14397979,1647278934,100000000000,100000000000000000000000,919256624747916699488,91566741236249513967369991,0.001092099583865194,true
14398226,1647279181,100000000000,100000000000000000000000,919252342128619004731,91565892065225842499285731,0.00109210971186483,true
14398473,1647279429,100000000000,100000000000000000000000,919248064943269327360,91565043976806365559707546,0.001092119827139822,true
14398720,1647279676,100000000000,100000000000000000000000,919243793015358611989,91564196935819110641606898,0.001092129930108969,true
14398967,1647279923,100000000000,100000000000000000000000,919239526379280831459,91563350949107894751624020,0.001092140020689951,true
14399214,1647280170,100000000000,100000000000000000000000,919235264943429445119,91562505998415281307029065,0.001092150099099851,true
14399461,1647280417,100000000000,100000000000000000000000,919231008778748662462,91561662097865846246695811,0.001092160165169509,true
14399708,1647280664,100000000000,100000000000000000000000,919226947997269306953,91560857120185238705705240,0.001092169767139,true
14399955,1647280911,100000000000,100000000000000000000000,919222613460157734237,91559997606852519970981891,0.001092180019809391,true
14399982,1647465350,100000000000,100000000000000000000000,909788255249875096527,89737117934115804490250848,0.00111436607618064,true
14400229,1647465603,100000000000,100000000000000000000000,915652600173674834295,90897712254870825860329906,0.001100137698951179,true
14400476,1647465850,100000000000,100000000000000000000000,915685167984567778205,90904182992953803795505739,0.001100059388991497,true
14400723,1647466097,100000000000,100000000000000000000000,915680717458627995192,90903303890265528086054113,0.001100070027385534,true
14400970,1647466344,100000000000,100000000000000000000000,915676040872196432807,90902379903375290293141426,0.001100081209164105,true
14401217,1647466591,100000000000,100000000000000000000000,915671371360365930448,90901457321014460140273023,0.001100092374172335,true
14401464,1647466838,100000000000,100000000000000000000000,915666710345904222312,90900536425653878943187509,0.001100103518990654,true
14401711,1647467086,100000000000,100000000000000000000000,915662057872832837611,90899617226016886245782411,0.001100114643512254,true
14401958,1647467333,100000000000,100000000000000000000000,915657603822838046249,90898737414745951875811419,0.001100125291550832,true
14402205,1647467580,100000000000,100000000000000000000000,915652880168000336306,90897804075065368422131942,0.001100136587649772,true
14402452,1647467827,100000000000,100000000000000000000000,915648252276080337408,90896889748294106163568915,0.001100147653862675,true
14402699,1647468074,100000000000,100000000000000000000000,915643633155303894399,90895977162801889547962005,0.001100158699222651,true
14402946,1647468321,100000000000,100000000000000000000000,915639022257387334447,90895066209714709911473593,0.001100169725046222,true
14403193,1647468569,100000000000,100000000000000000000000,915634419529933346416,90894156878614490924237494,0.001100180731458304,true
14403440,1647468816,100000000000,100000000000000000000000,915629824901958054698,90893249155392562205919230,0.001100191718628502,true
14403687,1647469063,100000000000,100000000000000000000000,915625428404379146396,90892380768038516945434196,0.001100202229878921,true
14403934,1647469310,100000000000,100000000000000000000000,915620761830846548749,90891458760552739961124762,0.001100213390385152,true
14404181,1647469557,100000000000,100000000000000000000000,915616190655001527248,90890555692751460292315009,0.001100224321854102,true
